,city_list,area_ave,price_all_ave,price_ave_ave
92,济南,109.27033333333326,182.89814814814815,16531.34074074074
93,济宁,113.61659259259254,110.47074074074072,9526.855555555556
94,临沂,119.81418518518522,113.1848148148148,9359.903703703703
95,青岛,110.98292592592588,233.834,20366.174074074075
96,泰安,106.25511111111109,118.40214814814811,10731.562962962964
97,潍坊,114.45137037037031,89.23148148148142,7504.822222222222
98,威海,97.15877777777776,106.3011111111109,10522.674074074073
99,烟台,103.92848148148154,106.0274074074074,10104.922222222222
100,淄博,113.37600000000006,99.44925925925925,8520.248148148148
101,成都,99.42918781725895,148.89634517766495,15060.157360406092
102,德阳,103.5587777777778,64.10296296296288,6175.166666666667
103,达州,100.74825925925923,63.05922222222219,6409.888888888889
104,广元,112.09166666666673,97.96037037037037,8895.325925925927
105,凉山,96.93485185185183,96.19425925925921,10039.222222222223
106,绵阳,100.55281481481481,80.78851851851844,8139.914814814815
107,南充,98.26229629629624,57.295222222222186,5882.214814814814
108,攀枝花,112.56459259259259,71.53792592592592,6297.392592592592
109,遂宁,106.9291851851852,76.43859259259243,7172.1518518518515
110,宜宾,116.14640740740745,120.76022222222205,10087.47037037037
111,雅安,114.95681481481482,79.87888888888884,6973.5888888888885
112,资阳,107.06914814814809,72.03207407407389,6755.392592592592
113,宝鸡,98.23511111111111,46.942962962962945,4656.351851851852
114,汉中,115.23481481481478,67.70444444444442,5796.685185185185
115,西安,126.28807407407399,192.67851851851862,14284.711111111112
116,咸阳,95.88003703703703,97.11074074074075,10096.033333333333
117,晋中,124.30674074074074,100.19148148148149,7938.559259259259
118,太原,108.44148148148152,114.38551851851854,10228.659259259259
119,运城,135.36307407407404,89.87370370370358,6516.677777777778
120,上海,82.8413703703704,494.14629629629627,59247.874074074076
121,天津,101.6782222222223,208.89629629629633,21246.13703703704
122,乌鲁木齐,96.86329629629628,77.29059259259259,7998.514814814815
123,大理,110.34011111111116,133.42837037037035,12395.177777777777
124,昆明,97.40311111111114,116.45629629629627,11991.17037037037
125,杭州,113.64429629629635,418.65474074074075,37187.374074074076
126,湖州,102.85277777777779,136.71325925925925,13287.781481481481
127,嘉兴,106.13944444444441,185.59618518518522,17430.75925925926
128,金华,161.32503703703708,283.2581481481481,16671.86296296296
129,宁波,113.53503703703696,294.5534814814815,24991.344444444443
130,衢州,144.68233333333336,237.7344444444445,16569.896296296298
131,绍兴,105.6759638554217,151.31861445783127,14431.481927710844
132,台州,108.91114814814813,183.32555555555578,16735.237037037037
133,温州,122.62677777777776,186.70644444444454,15545.41111111111
134,义乌,147.7996666666666,440.8859259259259,29648.87777777778
